taxa,full_taxa_name,stressor,source,median,lower_95,upper_95,weight,allocation,production,,
trout,trout,P,total on- and off-farm,13.75469839,10.36298618,17.14769133,live,mass,aquaculture,,
bivalves,bivalves,Water,total on- and off-farm,0,0,0,live,mass,aquaculture,,
catfish,catfish,Water,total on- and off-farm,1108.576437,702.8106488,1539.949012,live,mass,aquaculture,,
hypoph_carp,silver/bighead,Water,total on- and off-farm,5022.176217,4057.953644,6030.625806,live,mass,aquaculture,,
oth_carp,misc carps,Water,total on- and off-farm,1902.956701,1352.956384,2445.852236,live,mass,aquaculture,,
plants,plants,Water,total on- and off-farm,0,0,0,live,mass,aquaculture,,
tilapia,tilapia,Water,total on- and off-farm,460.0552582,64.40745082,866.8780706,live,mass,aquaculture,,
trout,trout,Water,total on- and off-farm,73.73886988,0,584.5896353,live,mass,aquaculture,,
milkfish,milkfish,Water,total on- and off-farm,180.6543123,131.2089287,241.8518424,live,mass,aquaculture,,
misc_diad,misc diadromous fishes,Water,total on- and off-farm,191.5392063,74.99948306,402.7792982,live,mass,aquaculture,,
misc_marine,misc marine fishes,Water,total on- and off-farm,208.386537,160.9935422,267.1771255,live,mass,aquaculture,,
salmon,salmon,Water,total on- and off-farm,92.08961103,79.07327334,105.8555096,live,mass,aquaculture,,
shrimp,shrimp,Water,total on- and off-farm,125.358542,113.1672441,137.7765965,live,mass,aquaculture,,
bivalves,bivalves,Land,total on- and off-farm,0,0,0,live,mass,aquaculture,,
catfish,catfish,Land,total on- and off-farm,5555.198263,3794.076006,7392.587959,live,mass,aquaculture,,
hypoph_carp,silver/bighead,Land,total on- and off-farm,4562.497357,521.3900805,8563.308102,live,mass,aquaculture,,
milkfish,milkfish,Land,total on- and off-farm,11714.04891,5812.650048,17534.89843,live,mass,aquaculture,,
misc_diad,misc diadromous fishes,Land,total on- and off-farm,5401.579646,-3461.683487,14911.77949,live,mass,aquaculture,,
misc_marine,misc marine fishes,Land,total on- and off-farm,5593.118428,2122.992499,9158.601898,live,mass,aquaculture,,
oth_carp,misc carps,Land,total on- and off-farm,6179.582135,4009.487883,8394.550588,live,mass,aquaculture,,
plants,plants,Land,total on- and off-farm,0,0,0,live,mass,aquaculture,,
salmon,salmon,Land,total on- and off-farm,2875.070567,943.6684979,4833.438696,live,mass,aquaculture,,
shrimp,shrimp,Land,total on- and off-farm,7534.805272,6179.311527,8960.023829,live,mass,aquaculture,,
tilapia,tilapia,Land,total on- and off-farm,5706.212962,4076.634108,7335.450978,live,mass,aquaculture,,
trout,trout,Land,total on- and off-farm,2287.476914,189.6078076,4392.170379,live,mass,aquaculture,,
bivalves,bivalves,GHG,total on- and off-farm,1434.91967,0,3407.270024,edible,economic,aquaculture,,
catfish,catfish,GHG,total on- and off-farm,6030.496945,5305.347769,6902.236151,edible,economic,aquaculture,,
hypoph_carp,silver/bighead,GHG,total on- and off-farm,2536.629585,1298.631228,4402.971547,edible,economic,aquaculture,,
milkfish,milkfish,GHG,total on- and off-farm,4145.441052,2711.338304,6215.891709,edible,economic,aquaculture,,
misc_diad,misc diadromous fishes,GHG,total on- and off-farm,14448.0049,10236.52774,18823.30957,edible,economic,aquaculture,,
misc_marine,misc marine fishes,GHG,total on- and off-farm,7551.265752,5806.883338,9523.763439,edible,economic,aquaculture,,
oth_carp,misc carps,GHG,total on- and off-farm,5009.09347,4050.403284,6077.409466,edible,economic,aquaculture,,
plants,plants,GHG,total on- and off-farm,1135.275372,0,2691.728172,edible,economic,aquaculture,,
salmon,salmon,GHG,total on- and off-farm,3012.407374,2273.893898,3982.548046,edible,economic,aquaculture,,
shrimp,shrimp,GHG,total on- and off-farm,7775.858884,6936.403278,8610.615884,edible,economic,aquaculture,,
tilapia,tilapia,GHG,total on- and off-farm,8689.983939,7682.556175,9703.729918,edible,economic,aquaculture,,
trout,trout,GHG,total on- and off-farm,3659.960758,2550.347873,4841.860327,edible,economic,aquaculture,,
bivalves,bivalves,N,total on- and off-farm,-129.8671945,-190.2822744,-70.30016053,edible,economic,aquaculture,,
catfish,catfish,N,total on- and off-farm,130.3100693,109.3123713,151.3086685,edible,economic,aquaculture,,
hypoph_carp,silver/bighead,N,total on- and off-farm,41.58759023,-0.736075229,84.12322385,edible,economic,aquaculture,,
milkfish,milkfish,N,total on- and off-farm,141.8777157,78.64501748,205.8095151,edible,economic,aquaculture,,
misc_diad,misc diadromous fishes,N,total on- and off-farm,147.4745688,37.17561082,259.1339348,edible,economic,aquaculture,,
misc_marine,misc marine fishes,N,total on- and off-farm,228.7276469,184.017848,278.2839513,edible,economic,aquaculture,,
oth_carp,misc carps,N,total on- and off-farm,144.574443,120.9972164,170.4582833,edible,economic,aquaculture,,
plants,plants,N,total on- and off-farm,-14.67077433,-64.2832591,32.60400137,edible,economic,aquaculture,,
salmon,salmon,N,total on- and off-farm,108.3584003,82.91263731,134.4839227,edible,economic,aquaculture,,
shrimp,shrimp,N,total on- and off-farm,121.6578296,104.4780536,139.1253497,edible,economic,aquaculture,,
tilapia,tilapia,N,total on- and off-farm,197.4887209,178.7868106,215.8363876,edible,economic,aquaculture,,
trout,trout,N,total on- and off-farm,97.53706947,71.26444294,124.7398391,edible,economic,aquaculture,,
bivalves,bivalves,P,total on- and off-farm,-24.28172002,-38.75482185,-10.07750777,edible,economic,aquaculture,,
