LCA_Category,Convert_to_na,Search_Words
Berries & Grapes,NaN,\bufit|\byogurt|\bcupcake|\bswiss roll|\byo yos|\byoyo|\bice cream|\blemonade|\bthirst quencher|\bisotonic|\beffervescent|\\bmultivitamin|\bshampoo|\bconditioner|\bshower|\bhand|\blip|\bwafers|\bmuesli|\bbath|\bdog cake|\bgranola|\bbagel|\bmushroom|\bsoda|\bmilk drink|\bchocolate truffles|\bkefir|\benglish crisps|\bbear fruit claw|\bhumzinger|\braspberry peelers|\bsweets bag|\bjelly sweets|\bliquorice|\blicorice|\bsour sticks|\bsoda|\bwater|\blucozade|\baquavape|\bcandle|\bfromage frais|\byoghurt|\bcupcake|\bstrawberry flakes|\benergy gel|\bcupcake|\bchocolate egg|\bflavour mix|\bstarburst|\bfruittella|\bgrape drink|\bice cream|\bpowder|\bpencils|\blaces|\bcocktail|\bsorbet|\bcheese|\bkvarg|bskyr|\bsalad dressing|\bdessert|\bFanta|\bcoke|\bcider|\bjuice|\bbreakfist drink|\btea bags\b|\bmilkshake|\b milk shake|\bmilk|\bstixx|\bbon bons|\blucozade|\bgatorade|\bfizzy|\bhigh5|protein drink|kvarg|yogurt|drink|pie|dressing|liquorice|water|\bgel|for children|\bsalts|quickmist|pudding
Wine,,\bwine(s)?\b|\bpinot gris\b|\bpinot noir\b|\bchardonnay\b|\bsauvignon blanc\b|\bmerlot\b|\bcuvee brut\b|\bblanc marlborough\b|\briesling\b|\bpinot grigio\b|\bcabernet sauvignon\b|\bsyrah\b|\bzinfandel\b|\bmalbec\b|\bmerlot\b
Wine,NaN,\bdog(s)?\b|\bcrisp(s)?\b|\bcat(s)?\b|\bgum(s)?\b|\bsweet(s)\b|wine.*glass
Coffee,,\bcoffee\b|\bcoffee bean(s)?\b| \barabica\b|\brobusta\b|arabicacoffee|coffeefruit|ground coffee|\binstant coffee
Coffee,NaN,whitener|coffee cream
Milk Chocolate,,\bmilk chocolate(s)?\b|\bmilkchocolate(s)?\b|milkchocolate|milk chocolate|pure belgian milk chocolate
Milk Chocolate,NaN,\bwaffer rolls
Dark Chocolate,,\bcocoa\b|\bcacao\b| \bchocolate(s)?\b|\btheobroma\b|\bdarkchocolate(s)?\b|chocolate|cocoabutter
Dark Chocolate,NaN,\bufit|\bprotein drink|\bchocolate milk|\byogurt with|\byoghurt with|\bchocolate yoghurt|\bchocolate yogurt|\bcupcake|\bslices|\bbrownie|\bmuffins|\btrawbake|\balpha bite|\bwhite chocolate|\bcake|\bprotein powder|\bshampoo|\bconditioner|\bpalmolive|\bplamer|\bvaseline|\bmaybelline|\belegant touch|\bchilds farm|\bfat free yogurt|\bmini rolls|\bchocolate whirls|\bmilk drink|s river|\bcakebasket|\bmuller|\byazoo|\bpots yogurts|\bufit|\bchocolate.*cake|\bprofiterole stack|\bcheezecake|\bbiscotti|\bwafer|\bchocolate bar white|\bprotein ball|\bdrink|\bangel delight|\bcupcake|\bcup cake|\bdigestive|\bchocolate flavored milk|\bbetty crocker|\bpop tarts|\bturkish delight|\bpancake|\bice cream|\bwafer
Bovine Meat (beef herd),,\bcow meat\b| \bbovine meat\b|\bbuffalo meat\b|\bveal\b|\bbritish outdoor bred\b|\box kideny(s)?\b|\box tongue(s)?\b|\bbritish steak(s)?\b|\box liver(s)?\b|\boxtail(s)?\b|ribsteak|british beef|britishbeef|beefchuck|beef brisket|beefallergy|organicbeef|ox kidney|ox cheek|beef.*steak|veal.*steak||steak in gravy|\bbeef tomahawk|\baberdeen angus|\btopside of beef|\btopside beef|\bsilverside beef|\bwagyu|\bflat iron steak\b|\bfillet steak\b|\rump steak\b|\bbraising steak\b|\brib eye\b|\bsirloin steak\b|\bbavette steak\b|\brump steak(s)?\b|\bcasserole steak\b|\bsirloin steak(s)?\b
