,count (lca observations),LCA_Category,Product_details,LCA_sub_category,LCA_sub_sub_category,Search_terms,Search_order,Average_of_original_category,Search_terms_sub,Search_order_sub,Average_of_sub_category
0,0,Coffee,Coffee beans,Brewed coffee,,\bbrewed|\bcold press|\bespresso|\bamericano|\blatt|\bcappucino|\bmocha|\bristretto|\blungo|\bflat white,1,yes,,,
38,2,Crustaceans (farmed),Amazon river prawn,Prawn,,prawn|cray(\s?)fish|craw(\s)?fish,2,,,,
39,2,Crustaceans (farmed),Giant giver prawn,Prawn,,prawn|cray(\s?)fish|craw(\s)?fish,2,,,,
40,3,Crustaceans (farmed),Giant river prawn,Prawn,,prawn|cray(\s?)fish|craw(\s)?fish,2,,,,
41,7,Crustaceans (farmed),Shrimp,Shrimp,,shrimp|scampi,1,,,,
42,5,Crustaceans (farmed),Tiger prawn,Prawn,,prawn|cray(\s?)fish|craw(\s)?fish,2,,,,
0,0,Crustaceans (farmed),,Other Crustaceans (farmed),,,3,yes,,,
43,1,Dark Chocolate,Chocolate,Chocolate,,,2,yes,,,
44,8,Dark Chocolate,Cocoa,Cocoa,,\bcocoa\b|\bcacao\b|\btheobroma\b|cocoabutter|\bhot\b,1,,,,
45,12,Eggs,Chicken's eggs,,,,,,,,
46,1,Fish (farmed),"Common carp, tench, roach, perch, pike",Carp & catfish,,\bcarp|\bcatfish|\bcat fish|\bcyprinus|\btench|\broach|\bperch|\bpike|\bpangasius,5,,,,
47,1,Fish (farmed),"Common carp, tench, roach, perch, sander, pike",Carp & catfish,,\bcarp|\bcatfish|\bcat fish|\bcyprinus|\btench|\broach|\bperch|\bpike|\bpangasius,5,,,,
48,3,Fish (farmed),"Grass carp, silver carp, big head carp, common carp, catfish",Carp & catfish,,\bcarp|\bcatfish|\bcat fish|\bcyprinus|\btench|\broach|\bperch|\bpike|\bpangasius,5,,,,
49,3,Fish (farmed),Pangasius,Carp & catfish,,\bcarp|\bcatfish|\bcat fish|\bcyprinus|\btench|\broach|\bperch|\bpike|\bpangasius,5,,,,
50,1,Fish (farmed),Rainbow trout,Trout & salmon,Trout,\bsalmo|\btrout|\bcoho|\bchinook|\bking|\btyee|\bspring(er|s)|\bblackmouth|\bsockeye|\bpink|\bchum|\brainbow|\bchar,1,,\btrout|\bchar,1,
51,3,Fish (farmed),Salmon,Trout & salmon,Salmon,\bsalmo|\btrout|\bcoho|\bchinook|\bking|\btyee|\bspring(er|s)|\bblackmouth|\bsockeye|\bpink|\bchum|\brainbow|\bchar,1,,,2,yes
52,1,Fish (farmed),"Sea bass, sea bream",Sea bream,,\bsea(\s)?bream|\bsea(\s)?bass,2,,,,
53,2,Fish (farmed),Tambaqui,Tambaqui,,\btambaqui|\bpacu|\bcachama|\bgamitana,3,yes,,,
54,9,Fish (farmed),Tilapia,Tilapia,,\btilapia,4,,,,
55,4,Fish (farmed),"Tilapia, African catfish",Tilapia,,\btilapia,4,,,,
0,0,Fish (farmed),Other farmed fish,Other farmed fish,,,6,yes,,,
56,5,Fish (farmed),Trout,Trout & salmon,Trout,\bsalmo|\btrout|\bcoho|\bchinook|\bking|\btyee|\bspring(er|s)|\bblackmouth|\bsockeye|\bpink|\bchum|\brainbow|\bchar,1,,\btrout|\bchar,1,
57,13,Groundnuts,Peanuts,,,,,,,,
58,2,Lamb & Mutton,Mutton,,,,,,,,
59,60,Maize (Meal),Maize,,,,,,,,
60,5,Maize (Meal),Summer maize,,,,,,,,
61,28,Milk,Cow's milk,,,,,,,,
62,8,Nuts,Almonds,Almonds,,\balmond(s)?\b|almond,1,,,,
63,2,Nuts,Cashew nuts,Other nuts,Cashews,\bpecan(s)?\b|\bpistachio(s)?\b|\bpistachio(es)?\b|\bwalnut(s)?\b|\bchestnut(s)?\b|\bhazel(\s)?nut(s)?\b|\bcashew(s)?\b|\bmacadamianut(s)?\b|\bmacadamia(s)?\b|\bfilbert(s)?\b|\bbrazil(\s)?nut(s)?\b|\bparanut(s)?\b|\bmixed nut(s)?\b|\bmixednut(s)?\b|\bpine nut(s)?\b|\bpinenut(s)?\b|\bnut(s)?\b|\bnuts and seeds\b|\bgroundalmond(s)?\b|roastedalmond|blanchedalmond(s)?|choppedalmond(s)?|almond(s)\b|pistachio(nut)?|pistachionuts|choppedwalnuts|\bhazelnut(s)?|hazelnut(s)?\b|pine kernels\b|\bwalnut(s)?|\bwalnut p|\bwalnut h||\bwalnut o|hazelnutchips|walnuts\b|pistachio\b|roastedhazelnut|hazelnutpaste|walnut(s)?|hazelnutsand|hazelnut p|hazelnut f|hazelnut c|hazelnut b|hazelnut s|hazelnut h|smokedcashew|pecannut|slidenut|cashewnut|choppednut|nuts[0-9]|nutmix|nutpremix|hazlenutpaste|AustralianMacadamia|brazil nut|candlenut|cashewnut|slicednuts|hazelnutpaste|slicednuts|\balmond\b|almonds\b|almond butter|almond meal|almond nuts|almond paste|almond praline|almond[0-9]|almondbase|almondbutter|almondchopped|almondflake|almondpaste|almondpiece|almondpowder|\balmonds\b|almonds*|almonds#|almonds[0-9]|almondallergy|almondslice|blanched almond|blanchedalmond|caramelisedalmonds|chopped almond|roastedalmond|choppedalmond|european almond|flaked almond|flakedalmond|ground almond|groundalmond|smoked almond|smokedalmond|roasted almond|roastedalmond|almonds\b|inskinalmond|coated almond|nibedalmond|organic almond|organicalmond|italianalmond|raw almonds|marconaalmond|saltedalmond|wholealmond|flakes almond|flaked almond,2,,cashew,1,yes
64,2,Nuts,Chestnuts,Other nuts,Chestnuts,\bpecan(s)?\b|\bpistachio(s)?\b|\bpistachio(es)?\b|\bwalnut(s)?\b|\bchestnut(s)?\b|\bhazel(\s)?nut(s)?\b|\bcashew(s)?\b|\bmacadamianut(s)?\b|\bmacadamia(s)?\b|\bfilbert(s)?\b|\bbrazil(\s)?nut(s)?\b|\bparanut(s)?\b|\bmixed nut(s)?\b|\bmixednut(s)?\b|\bpine nut(s)?\b|\bpinenut(s)?\b|\bnut(s)?\b|\bnuts and seeds\b|\bgroundalmond(s)?\b|roastedalmond|blanchedalmond(s)?|choppedalmond(s)?|almond(s)\b|pistachio(nut)?|pistachionuts|choppedwalnuts|\bhazelnut(s)?|hazelnut(s)?\b|pine kernels\b|\bwalnut(s)?|\bwalnut p|\bwalnut h||\bwalnut o|hazelnutchips|walnuts\b|pistachio\b|roastedhazelnut|hazelnutpaste|walnut(s)?|hazelnutsand|hazelnut p|hazelnut f|hazelnut c|hazelnut b|hazelnut s|hazelnut h|smokedcashew|pecannut|slidenut|cashewnut|choppednut|nuts[0-9]|nutmix|nutpremix|hazlenutpaste|AustralianMacadamia|brazil nut|candlenut|cashewnut|slicednuts|hazelnutpaste|slicednuts|\balmond\b|almonds\b|almond butter|almond meal|almond nuts|almond paste|almond praline|almond[0-9]|almondbase|almondbutter|almondchopped|almondflake|almondpaste|almondpiece|almondpowder|\balmonds\b|almonds*|almonds#|almonds[0-9]|almondallergy|almondslice|blanched almond|blanchedalmond|caramelisedalmonds|chopped almond|roastedalmond|choppedalmond|european almond|flaked almond|flakedalmond|ground almond|groundalmond|smoked almond|smokedalmond|roasted almond|roastedalmond|almonds\b|inskinalmond|coated almond|nibedalmond|organic almond|organicalmond|italianalmond|raw almonds|marconaalmond|saltedalmond|wholealmond|flakes almond|flaked almond,2,,chest,2,yes
65,2,Nuts,Hazelnuts,Other nuts,Hazelnuts,\bpecan(s)?\b|\bpistachio(s)?\b|\bpistachio(es)?\b|\bwalnut(s)?\b|\bchestnut(s)?\b|\bhazel(\s)?nut(s)?\b|\bcashew(s)?\b|\bmacadamianut(s)?\b|\bmacadamia(s)?\b|\bfilbert(s)?\b|\bbrazil(\s)?nut(s)?\b|\bparanut(s)?\b|\bmixed nut(s)?\b|\bmixednut(s)?\b|\bpine nut(s)?\b|\bpinenut(s)?\b|\bnut(s)?\b|\bnuts and seeds\b|\bgroundalmond(s)?\b|roastedalmond|blanchedalmond(s)?|choppedalmond(s)?|almond(s)\b|pistachio(nut)?|pistachionuts|choppedwalnuts|\bhazelnut(s)?|hazelnut(s)?\b|pine kernels\b|\bwalnut(s)?|\bwalnut p|\bwalnut h||\bwalnut o|hazelnutchips|walnuts\b|pistachio\b|roastedhazelnut|hazelnutpaste|walnut(s)?|hazelnutsand|hazelnut p|hazelnut f|hazelnut c|hazelnut b|hazelnut s|hazelnut h|smokedcashew|pecannut|slidenut|cashewnut|choppednut|nuts[0-9]|nutmix|nutpremix|hazlenutpaste|AustralianMacadamia|brazil nut|candlenut|cashewnut|slicednuts|hazelnutpaste|slicednuts|\balmond\b|almonds\b|almond butter|almond meal|almond nuts|almond paste|almond praline|almond[0-9]|almondbase|almondbutter|almondchopped|almondflake|almondpaste|almondpiece|almondpowder|\balmonds\b|almonds*|almonds#|almonds[0-9]|almondallergy|almondslice|blanched almond|blanchedalmond|caramelisedalmonds|chopped almond|roastedalmond|choppedalmond|european almond|flaked almond|flakedalmond|ground almond|groundalmond|smoked almond|smokedalmond|roasted almond|roastedalmond|almonds\b|inskinalmond|coated almond|nibedalmond|organic almond|organicalmond|italianalmond|raw almonds|marconaalmond|saltedalmond|wholealmond|flakes almond|flaked almond,2,,hazel,3,yes
